Company_Brand,Founded,HeadQuarter,Sector,Amount,Stage,Funding Year
Codingal,2020.0,Bangalore,EdTech,560000.0,Early Stage,2020
CRED,2018.0,Bangalore,Finance company,80000000.0,Series A to Series H,2020
Vistaar Finance,2010.0,Bangalore,Finance company,30000000.0,Unknown,2020
Let's Dive,2020.0,Bangalore,SaaS platform,1700000.0,Unknown,2020
Habitat,2016.0,None,EdTech,600000.0,Early Stage,2020
SAWO Labs,2020.0,Mumbai,SaaS platform,600000.0,Early Stage,2020
Signzy,2015.0,Bangalore,AI platform,3000000.0,Unknown,2020
KopyKitab,2013.0,Bangalore,EdTech,0.0,Unknown,2020
Kyt,2020.0,Singapore,EdTech,2500000.0,Unknown,2020
Raskik,2019.0,None,Fusion beverages,1000000.0,Early Stage,2020
GetWork,2019.0,Gurugram,HR Tech,40000.0,Early Stage,2020
Mobile Premier League (MPL),2018.0,Bangalore,Gaming,500000.0,Series A to Series H,2020
Pravasirojgar,2020.0,None,Job portal,33000000.0,Unknown,2020
Omatra Hotels,2017.0,Kolkata,Hospitality,0.0,Early Stage,2020
Awign,2016.0,Bangalore,Job portal,0.0,Early Stage,2020
NewsReach,2018.0,Gujarat,Digital Media,1500000.0,Early Stage,2020
Cashfree,2015.0,Bangalore,FinTech,35000000.0,Series A to Series H,2020
Credgenics,2018.0,New Delhi,FinTech,3000000.0,Early Stage,2020
GeoIQ,2018.0,Bangalore,AI startup,300000.0,Early Stage,2020
Country Delight,2015.0,Haryana,Dairy startup,25000000.0,Series A to Series H,2020
Quintype,2014.0,Bangalore,Content management,3500000.0,Series A to Series H,2020
CARS24,2015.0,Haryana,Retail,200000000.0,Series A to Series H,2020
Astrogate Labs,2017.0,Bangalore,Spacetech,0.0,Unknown,2020
Power Gummies,2018.0,New Delhi,HealthTech,0.0,Later Stage,2020
Cityflo,2015.0,Mumbai,Transportation,7000000.0,Series A to Series H,2020
AlgoBulls,2019.0,Mumbai,Trading platform,200000.0,Unknown,2020
Credgenics,2018.0,Gurugram,FinTech,3000000.0,Early Stage,2020
Inntot,2014.0,Kerala,Tech company,0.0,Unknown,2020
Ensuredit,2019.0,Gurugram,FinTech,300000.0,Early Stage,2020
Shipsy,2015.0,Gurugram,AI Company,6000000.0,Series A to Series H,2020
ERPNext,2008.0,Mumbai,Tech company,1000000.0,Unknown,2020
LightSpeedAI,2019.0,Bangalore,Photonics startup,0.0,Unknown,2020
Grip Invest,2020.0,Gurugram,FinTech,0.0,Early Stage,2020
Unacademy,2015.0,Bangalore,EdTech,0.0,Unknown,2020
Yellow Classes,2020.0,Gurugram,EdTech,1300000.0,Early Stage,2020
Plum,2019.0,Bangalore,HealthTech,4100000.0,Unknown,2020
STAGE,2019.0,Indore,Entertainment,1000000.0,Unknown,2020
Nykaa,2012.0,Mumbai,Cosmetics,0.0,Unknown,2020
Kaagaz Scanner,2020.0,None,Scanning app,575000.0,Unknown,2020
NIRA,2017.0,Bangalore,FinTech,1000000.0,Unknown,2020
Prolixr,2018.0,Gurugram,Skincare startup,0.0,Early Stage,2020
Byju's,2011.0,Bangalore,EdTech,200000000.0,Unknown,2020
DaMENSCH,2018.0,Bangalore,E-commerce,6000000.0,Unknown,2020
Country Delight,2015.0,Haryana,Food and Beverages,25000000.0,Series A to Series H,2020
SignalX,2018.0,Hyderabad,AI startup,800000.0,Early Stage,2020
Lancify,2018.0,Bangalore,EdTech,300000.0,Unknown,2020
Krimanshi,2015.0,Jodhpur,Biotechnology company,600000.0,Early Stage,2020
Instoried,2018.0,Bangalore,AI startup,1000000.0,Early Stage,2020
PlayerzPot,2015.0,Mumbai,Gaming startup,3000000.0,Series A to Series H,2020
Instamojo,2012.0,Bangalore,FinTech,0.0,Unknown,2020
Turtlemint,2015.0,Mumbai,HealthTech,30000000.0,Unknown,2020
Arata,2017.0,New Delhi,E-commerce,1000000.0,Early Stage,2020
MPL,2018.0,Bangalore,Gaming startup,5000000.0,Unknown,2020
True Balance,2014.0,Gurugram,FinTech,28000000.0,Unknown,2020
Thrive,2020.0,Mumbai,FoodTech,0.0,Early Stage,2020
Kitchens Centre,2019.0,New Delhi,Proptech,0.0,Early Stage,2020
Prescribe,2019.0,Chennai,HealthTech,100000.0,Unknown,2020
Nepra,2006.0,Ahmedabad,CleanTech,18000000.0,Series A to Series H,2020
inFeedo,2013.0,Gurugram,SaaS startup,3200000.0,Unknown,2020
Shilpa Sciences,2014.0,Bangalore,HealthTech,0.0,Early Stage,2020
Arzooo,2016.0,Bangalore,Tech Startup,0.0,Unknown,2020
MindTickle,2011.0,Pune,SaaS platform,100000000.0,Later Stage,2020
Krimanshi,2015.0,Jodhpur,Biotechnology company,600000.0,Early Stage,2020
Slice,2016.0,Bangalore,FinTech,5000000.0,Later Stage,2020
Rapawalk,2017.0,Bangalore,E-commerce,300000.0,Early Stage,2020
Oga Fit's,2017.0,Bangalore,Fitness startup,0.0,Early Stage,2020
LAVAL,2016.0,Bangalore,Cosmetics,0.0,Early Stage,2020
Stride Ventures,2019.0,New Delhi,Venture capitalist,80000000.0,Unknown,2020
BlackSoil,2016.0,Mumbai,FinTech,10000000.0,Unknown,2020
Biocon,1978.0,Bangalore,Healthcare,15000000.0,Unknown,2020
Clientjoy,2013.0,Gujarat,SaaS startup,800000.0,Early Stage,2020
Xpressbees,2015.0,Pune,E-commerce,100000000.0,Unknown,2020
GalaxyCard,2017.0,Gurugram,FinTech,0.0,Early Stage,2020
Wellness Forever,2008.0,Mumbai,HealthTech,100000000.0,Unknown,2020
MoooFarm,2019.0,Gurugram,AgriTech,500000.0,Early Stage,2020
BitClass,2020.0,Bangalore,PaaS startup,2000000.0,Early Stage,2020
Gonuts,2020.0,Mumbai,Entertainment,400000.0,Early Stage,2020
Uolo,2013.0,Bangalore,EdTech,2000000.0,Early Stage,2020
Kirana King,2014.0,Jaipur,Retail,900000.0,Early Stage,2020
Jade Forest,,Delhi,Beverages,250000.0,Early Stage,2020
iKure,2010.0,Kolkata,HealthTech,0.0,Unknown,2020
FrontRow,,Bangalore,EdTech,3200000.0,Early Stage,2020
Reliance Retail,2006.0,Mumbai,E-commerce,10000000.0,Unknown,2020
TUBBR,2019.0,Frisco,Social Media,0.0,Unknown,2020
Ather Energy,2013.0,Bangalore,Automobiles,35000000.0,Series A to Series H,2020
Routematic,2007.0,Bangalore,SaaS startup,2000000.0,Unknown,2020
LivFin,2017.0,New Delhi,FinTech,4700000.0,Unknown,2020
Universal Sportsbiz Pvt Ltd,2012.0,Bangalore,Fashion startup,0.0,Unknown,2020
Lattu Kids,2017.0,Mumbai,EdTech,0.0,Unknown,2020
Eggoz,2016.0,Indore,Food & Bevarages,1500000.0,Early Stage,2020
Steradian Semiconductors,2016.0,Bangalore,Deeptech,0.0,Unknown,2020
CHARGE+ZONE,2018.0,Gujarat,EV startup,3000000.0,Early Stage,2020
Stones2milestones,2008.0,Gurugram,EdTech,2000000.0,Later Stage,2020
Udacity,2011.0,California,EdTech,75000000.0,Later Stage,2020
AjnaLens,2014.0,Thane,AR/VR startup,1000000.0,Later Stage,2020
Gully Network,2019.0,Bangalore,E-commerce,1200000.0,Early Stage,2020
TurboHire,2018.0,Hyderabad,Recruitment startup,1000000.0,Early Stage,2020
Traya,,Mumbai,HealthTech,0.0,Early Stage,2020
Charcoal Eats,2015.0,Mumbai,QSR startup,2000000.0,Unknown,2020
Mitron TV,2020.0,Bangalore,Video platform,0.0,Unknown,2020
Svami,2016.0,Mumbai,Food & Bevarages,800000.0,Unknown,2020
Dhurnia,2018.0,Dhingsara,EdTech,100000.0,Unknown,2020
Expertrons,2019.0,Mumbai,EdTech,0.0,Unknown,2020
Leena AI,2015.0,New York,AI startup,8000000.0,Unknown,2020
Bizlog,2016.0,Bangalore,Logistics,1000000.0,Unknown,2020
Tamasha.live,2020.0,Mumbai,Gaming,300000.0,Unknown,2020
Fedo,2017.0,Bangalore,AI startup,1000000.0,Unknown,2020
FabHotels,2015.0,Gurugram,Hospitality,1000000.0,Unknown,2020
Freshokartz,2016.0,Jaipur,AgriTech,1000000.0,Early Stage,2020
FlexiLoans,2016.0,Mumbai,FinTech,6000000.0,Later Stage,2020
Agrix,2020.0,Patna,AgriTech,0.0,Unknown,2020
BharatAgri,2017.0,Pune,AgriTech,0.0,Early Stage,2020
FreshtoHome,2015.0,Bangalore,E-commerce,121000000.0,Series A to Series H,2020
Credable,2017.0,Mumbai,FinTech,4500000.0,Unknown,2020
Railofy,2019.0,Mumbai,Transportation,5000000.0,Early Stage,2020
Finova Capital,2016.0,Jaipur,FinTech,55000000.0,Unknown,2020
Teachmint,2020.0,Bangalore,Edtech,3500000.0,Early Stage,2020
Peel-Works,2010.0,Mumbai,E-commerce,3000000.0,Unknown,2020
Janani,2020.0,Bangalore,Fertility tech,200000.0,Early Stage,2020
Credgenics,2018.0,Gurugram,FinTech,3300000.0,Early Stage,2020
Finelistings,2015.0,New Delhi,Luxury car startup,0.0,Unknown,2020
Wellversed,2018.0,New Delhi,Healthcare,0.0,Early Stage,2020
Nykaa,2012.0,Mumbai,Cosmetics,0.0,Unknown,2020
Jumbotail,2015.0,Bangalore,E-commerce,11000000.0,Series A to Series H,2020
Winzo,2018.0,New Delhi,Gaming startup,2000000.0,Unknown,2020
mCaffeine,2015.0,Mumbai,Cosmetics,5000000.0,Series A to Series H,2020
Pocket FM,2018.0,Bangalore,FM,5000000.0,Series A to Series H,2020
Snackible,2015.0,Mumbai,Healthcare,0.0,Later Stage,2020
FreshtoHome,2015.0,Bangalore,E-commerce,16000000.0,Unknown,2020
Jumbotail,2015.0,Bangalore,Retail,11000000.0,Series A to Series H,2020
Nykaa,2012.0,Mumbai,E-commerce,0.0,Unknown,2020
TagZ Foods,2019.0,Bangalore,Food,0.0,Unknown,2020
Genius Teacher,2016.0,Mumbai,Edtech,2000000.0,Unknown,2020
Krimanshi Feeds,2015.0,Jodhpur,Nutrition sector,500000.0,Unknown,2020
Origo,2010.0,Gurugram,AgriTech,4000000.0,Later Stage,2020
GetVantage,2019.0,Mumbai,FinTech,5000000.0,Early Stage,2020
Betterplace,2015.0,Bangalore,Tech platform,10000000.0,Series A to Series H,2020
Biddano,2016.0,Mumbai,Healthcare,600000.0,Early Stage,2020
InVideo,2017.0,Mumbai,Video,15000000.0,Series A to Series H,2020
Arzooo,2016.0,Bangalore,Retail Tech,7500000.0,Series A to Series H,2020
Hubilo,2020.0,San Francisco,Tech company,4500000.0,Early Stage,2020
BASIC Home Loan,2020.0,Gurugram,FinTech,5000000.0,Early Stage,2020
Ketos,2015.0,San Francisco,AI startup,18000000.0,Unknown,2020
SUGAR cosmetics,2012.0,Mumbai,Cosmetics,2000000.0,Later Stage,2020
Signzy,2015.0,Bangalore,FinTech,5400000.0,Unknown,2020
Ahaguru,2012.0,Chennai,Edtech,0.0,Series A to Series H,2020
Tekion,2016.0,San Ramon,AI startup,150000000.0,Series A to Series H,2020
Brighteye Ventures,2017.0,Paris,Edtech,5400000.0,Unknown,2020
EzeRx,2018.0,Kolkata,Medtech,200000.0,Early Stage,2020
VitalTech,2018.0,Plano,HeathTech,3000000.0,Early Stage,2020
Genius Teacher,2016.0,Mumbai,Edtech,2000000.0,Unknown,2020
Ultraviolette Automotive,2014.0,Bangalore,Automobiles,4000000.0,Series A to Series H,2020
Tring,2019.0,Mumbai,Social Media,0.0,Unknown,2020
Rare Planet,2015.0,Kolkata,Retail startup,400000.0,Early Stage,2020
GoodGamer,2020.0,Bangalore,Gaming,2500000.0,Early Stage,2020
InnAccel,2012.0,Bangalore,Medtech,1500000.0,Early Stage,2020
Tiliter,2017.0,Sydney,Retail,7500000.0,Unknown,2020
Slintel,2016.0,San Francisco Bay Area,Sles and marketing,4200000.0,Unknown,2020
SoOLEGAL,2015.0,New Delhi,LegalTech,4000000.0,Unknown,2020
HobSpace,2019.0,Mumbai,Edtech,200000.0,Early Stage,2020
Supplynote,2015.0,Noida,SaaS startup,500000.0,Early Stage,2020
Hire Me Car,,Noida,Car Service,0.0,Early Stage,2020
ShopUp,2017.0,Bangaldesh,E-commerce,22000000.0,Series A to Series H,2020
Harmonizer India,2019.0,Bangalore,Tech Startup,0.0,Unknown,2020
Zomato,2008.0,Gurugram,FoodTech,52000000.0,Unknown,2020
Dukaan,2020.0,Mumbai,Tech Startup,6000000.0,Early Stage,2020
CredR,2014.0,Mumbai,Bike marketplace,2000000.0,Unknown,2020
Satyukt,2018.0,Bangalore,Agri tech,500000.0,Early Stage,2020
RACEnergy,2018.0,Hyderabad,Automobiles,0.0,Unknown,2020
TREAD,2020.0,Bangalore,Fitness startup,1100000.0,Early Stage,2020
Anveshan,2019.0,Bangalore,FoodTech,100000.0,Early Stage,2020
TeaMonk,2016.0,Bangalore,Food & Bevarages,900000.0,Early Stage,2020
Fleetx,2017.0,Gurugram,Tech Startup,3000000.0,Early Stage,2020
ReNEWate,2018.0,Pune,Real Estate,0.0,Early Stage,2020
Tango Eye,2018.0,Chennai,SaaS startup,0.0,Early Stage,2020
Rare Planet,2015.0,Kolkata,Reatil startup,0.0,Early Stage,2020
Avataa Me,2014.0,Bangalore,AR platform,7000000.0,Series A to Series H,2020
Arrival,2015.0,London,EV startup,118000000.0,Unknown,2020
Cover Genius,2014.0,Sydney,FinTech,15000000.0,Unknown,2020
Phononic Vibes,2018.0,Milano,Deeptech,2300000.0,Unknown,2020
MikeLegal,2017.0,Gurugram,LegalTech,0.0,Early Stage,2020
Clair,2019.0,New York,FinTech,4500000.0,Early Stage,2020
Gourmet Garden,1999.0,Palmwoods,Consumer Goods,0.0,Unknown,2020
Miko,2015.0,Mumbai,AI startup,3000000.0,Early Stage,2020
Razorpay,2014.0,Bangalore,FinTech,100000000.0,Series A to Series H,2020
Ninjacart,2015.0,Bangalore,Food Industry,30000000.0,Unknown,2020
Wow! Momo,2008.0,Kolkata,Food Industry,5000000.0,Later Stage,2020
Pepper Content,2017.0,Mumbai,Content marketplace,4200000.0,Series A to Series H,2020
LIVSPACE,2014.0,Bangalore,Interior Design,4000000.0,Later Stage,2020
Acculi Labs,2017.0,Bangalore,Healthcare,600000.0,Early Stage,2020
Your MD,2012.0,London,Healthcare,25000000.0,Unknown,2020
Antaios,2016.0,France,Tech company,11000000.0,Unknown,2020
Unnati,2017.0,Noida,AgriTech,1700000.0,Early Stage,2020
Disprz,2015.0,Chennai,Edtech,1600000.0,Early Stage,2020
Uni,,Mumbai,FinTech,18500000.0,Early Stage,2020
Credit Wise Capital,1994.0,Mumbai,FinTech,6000000.0,Early Stage,2020
Chargebee,2011.0,San Francisco Bay Area,SaaS startup,55000000.0,Series A to Series H,2020
Reliance Retail Ventures Ltd,2006.0,Mumbai,Retail,70000000000.0,Unknown,2020
Winuall,2019.0,Bangalore,Edtech,2000000.0,Unknown,2020
Genrobotics,2015.0,Trivandrum,AI startup,300000.0,Unknown,2020
Livve,2015.0,Cochin,Rental space,1500000.0,Early Stage,2020
Ergos,2012.0,Samastipur,AgriTech,5000000.0,Series A to Series H,2020
Krishitantra,2017.0,Hyderabad,Soil-Tech,1000000.0,Early Stage,2020
PakkaProfile,2019.0,Bangalore,Recruitment startup,0.0,Early Stage,2020
Monet Networks,2014.0,Irvine,AI startup,500000.0,Later Stage,2020
Unocoin,2013.0,Tumkur,FinTech,0.0,Series A to Series H,2020
Pesto,2017.0,New Delhi,Edtech,0.0,Unknown,2020
NirogStreet,2016.0,Gurugram,Ayurveda tech,2000000.0,Early Stage,2020
Bambrew,2018.0,Bangalore,Packaging solution startup,0.0,Early Stage,2020
Omnify,2016.0,San Francisco Bay Area,SaaS startup,0.0,Early Stage,2020
Fanball XI,,New Delhi,Gaming,1000000.0,Early Stage,2020
Treebo Hotels,2015.0,Bangalore,Hospitality,6000000.0,Unknown,2020
GPS Renewables,2010.0,Bangalore,Cleantech,3000000.0,Series A to Series H,2020
Public,2019.0,New Delhi,Social Media,30000000.0,Unknown,2020
Legal Salah,2015.0,Kolkata,LegalTech,1000000.0,Early Stage,2020
FanPlay,2018.0,New Delhi,Gaming,0.0,Early Stage,2020
ECOSTP,2017.0,Bangalore,Sanitation solutions,19000000.0,Unknown,2020
Coralogix,2013.0,San Francisco,SaaS startup,25000000.0,Series A to Series H,2020
Equiwatt,2015.0,Newcastle Upon Tyne,Tech company,300000.0,Unknown,2020
Reliance Retail Ventures,2006.0,Mumbai,E-commerce,800000000.0,Unknown,2020
Zhangmen,2005.0,Shanghai,Edtech,400000000.0,Unknown,2020
AgroWave,2017.0,Gurugram,AgriTech,500000.0,Unknown,2020
Sapio Analytics,2018.0,Mumbai,Tech company,150000.0,Unknown,2020
Taimei,2013.0,Jiaxing,HealthCare,176000000.0,Unknown,2020
Avanse Financial Services,2012.0,Mumbai,FinTech,15000000.0,Unknown,2020
Industry Buying,2013.0,New Delhi,E-commerce,15000000.0,Unknown,2020
Hopscotch,2011.0,Mumbai,E-commerce,25000000.0,Unknown,2020
Pristyn Care,2018.0,Gurugram,HealthCare,11000000.0,Unknown,2020
WoodenStreet,2015.0,Rajastan,Home Design,1000000.0,Unknown,2020
ACKO,2016.0,Mumbai,InsureTech,60000000.0,Unknown,2020
Farmers Fresh Zone,2015.0,Kochi,AgriTech,470000.0,Unknown,2020
Invento,2016.0,Bangalore,AI Startup,0.0,Unknown,2020
Infurnia,2014.0,Bangalore,Tech Startup,240000.0,Unknown,2020
AnalytIQSports's SuperCric,2019.0,Bangalore,Entertainment,0.0,Unknown,2020
Snowflake,2012.0,California,Tech company,3000000000.0,Unknown,2020
GenieTalk,2016.0,Indore,Tech company,750000.0,Unknown,2020
Classplus,2018.0,Noida,EdTech,10000000.0,Unknown,2020
Mobile Premier League,2018.0,Bangalore,Entertainment,74000000.0,Unknown,2020
Fourth Partner Energy,2010.0,Hyderabad,Solar solution,16000000.0,Unknown,2020
Flipkart,2007.0,Bangalore,E-commerce,62000000.0,Unknown,2020
Vivriti Capital,2017.0,Chennai,FinTech,1000000.0,Unknown,2020
InsuranceDekho,2017.0,Ludhiana,FinTech,20000000.0,Unknown,2020
BestDoc,2016.0,Kochi,HealthCare,2100000.0,Unknown,2020
Byju’s,2011.0,Bangalore,EdTech,500000000.0,Unknown,2020
Melorra,2015.0,Bangalore,Jewellery startup,12500000.0,Unknown,2020
Reliance,1973.0,Mumbai,Multinational conglomerate company,2200000000.0,Unknown,2020
Inflexor Ventures,2020.0,Mumbai,FinTech,10000000.0,Unknown,2020
Pandorum,2011.0,Bangalore,Deeptech startup,5060000.0,Unknown,2020
SpeakIn,2018.0,Noida,Social Network,0.0,Unknown,2020
LetsUp,2015.0,Mumbai,Publication,0.0,Unknown,2020
Newsreach,2018.0,Gujarat,Publication,0.0,Unknown,2020
Dream11,2008.0,Mumbai,Entertainment,225000000.0,Unknown,2020
SignalX,2018.0,Hyderabad,SaaS platform,750000.0,Unknown,2020
JetSynthesys,2012.0,Mumbai,Tech,40000000.0,Unknown,2020
Vesta Space Technology,2018.0,Pune,Tech Startup,10000000.0,Unknown,2020
Dozee,2015.0,Bangalore,HealthTech,1600000.0,Unknown,2020
Rebel Foods,2011.0,Pune,Food,50000000.0,Unknown,2020
Nykaa,2012.0,Mumbai,Fashion,24700000.0,Unknown,2020
Ketto,2012.0,Mumbai,Finance,7700000.0,Unknown,2020
